City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Cururupu,BR,2022-07-04 18:04:34,-1.8283,-44.8683,85.33,60,22,6.55
271,Erenhot,CN,2022-07-04 18:04:35,43.6475,111.9767,78.35,42,86,9.82
272,Saint George,US,2022-07-04 18:00:32,37.1041,-113.5841,94.62,13,0,14.97
273,Dharchula,IN,2022-07-04 18:04:35,29.85,80.5333,77.45,92,99,0.45
274,Hofn,IS,2022-07-04 18:04:35,64.2539,-15.2082,60.82,44,0,21.85
275,Constitucion,CL,2022-07-04 18:04:35,-35.3333,-72.4167,54.41,70,7,5.14
276,Pangkalanbuun,ID,2022-07-04 18:00:22,-2.6833,111.6167,73.94,93,45,2.46
277,East London,ZA,2022-07-04 18:04:36,-33.0153,27.9116,64.99,84,88,12.59
278,Dingle,PH,2022-07-04 18:04:36,10.9995,122.6711,77.86,88,94,2.08
279,Joshimath,IN,2022-07-04 18:04:36,30.5667,79.5667,74.44,92,100,0.67
280,Macapa,BR,2022-07-04 18:04:37,0.0389,-51.0664,87.78,66,75,3.44
281,Djambala,CG,2022-07-04 18:04:37,-2.5447,14.7533,77.16,44,37,4.12
282,Minab,IR,2022-07-04 18:04:37,27.1467,57.0801,89.62,71,69,4.59
283,Egvekinot,RU,2022-07-04 18:04:37,66.3167,-179.1667,43.61,79,100,2.86
284,Souillac,MU,2022-07-04 18:04:38,-20.5167,57.5167,70.2,72,28,15.1
285,Mareeba,AU,2022-07-04 18:04:38,-17.0,145.4333,59.43,96,100,2.64
286,Port Hardy,CA,2022-07-04 18:00:06,50.6996,-127.4199,53.78,94,100,4.61
287,Namatanai,PG,2022-07-04 18:04:38,-3.6667,152.4333,79.59,82,96,9.8
288,Paracatu,BR,2022-07-04 18:04:39,-17.2222,-46.8747,80.98,21,1,9.31
289,Broken Hill,AU,2022-07-04 18:04:39,-31.95,141.4333,39.2,82,0,13.47
290,Touros,BR,2022-07-04 18:04:39,-5.1989,-35.4608,80.65,76,62,12.19
291,Half Moon Bay,US,2022-07-04 18:04:39,37.4636,-122.4286,74.88,72,75,4.61
